DateTime,Outlet,Inlet_1,Inlet_2,Inlet_3,Inlet_4
2018-06-28 16:26:00,3120.288,1374.912,3.648,27.552,543.36
2018-06-28 16:28:00,3120.288,1374.912,3.648,27.552,543.36
2018-06-28 16:30:00,3120.288,1374.912,3.648,27.552,543.36
2018-06-28 16:32:00,3089.92,1368.672,3.648,49.568,554.016
2018-06-28 16:34:00,3059.552,1362.432,3.648,71.584,564.672
2018-06-28 16:36:00,3029.184,1356.192,3.648,93.6,575.328
2018-06-28 16:38:00,3029.184,1356.192,3.04,93.6,575.328
2018-06-28 16:40:00,3029.184,1356.192,2.4320000000000004,93.6,575.328
2018-06-28 16:42:00,3029.184,1356.192,1.824,93.6,575.328
2018-06-28 16:44:00,3029.184,1356.192,1.824,76.896,568.48
2018-06-28 16:46:00,3029.184,1356.192,1.824,60.192,561.632
2018-06-28 16:48:00,3029.184,1356.192,1.824,43.488,554.784
2018-06-28 16:50:00,3025.728,1357.856,5.728,43.488,554.784
2018-06-28 16:52:00,3022.272,1359.52,9.632,43.488,554.784
2018-06-28 16:54:00,3018.816,1361.184,13.536,43.488,554.784
2018-06-28 16:56:00,3018.816,1361.184,13.536,187.424,564.448
2018-06-28 16:58:00,3018.816,1361.184,13.536,331.36,574.112
2018-06-28 17:00:00,3018.816,1361.184,13.536,475.296,583.776
2018-06-28 17:02:00,3033.4719999999998,1371.168,229.15200000000002,475.296,583.776
2018-06-28 17:04:00,3048.128,1381.152,444.76800000000003,475.296,583.776
2018-06-28 17:06:00,3062.784,1391.136,660.384,475.296,583.776
2018-06-28 17:08:00,3062.784,1391.136,660.384,475.296,583.776
2018-06-28 17:10:00,3062.784,1391.136,660.384,475.296,583.776
2018-06-28 17:12:00,3062.784,1391.136,660.384,475.296,583.776
2018-06-28 17:14:00,3062.784,1391.136,660.384,475.296,583.776
2018-06-28 17:16:00,3062.784,1391.136,660.384,475.296,583.776
2018-06-28 17:18:00,3078.3360000000002,1384.064,660.384,472.448,569.76
2018-06-28 17:20:00,3093.888,1376.992,660.384,469.6,555.7439999999999
2018-06-28 17:22:00,3109.44,1369.92,660.384,466.752,541.728
2018-06-28 17:24:00,3109.44,1369.92,671.744,466.752,541.728
2018-06-28 17:26:00,3109.44,1369.92,683.104,466.752,541.728
2018-06-28 17:28:00,3109.44,1369.92,694.464,466.752,541.728
2018-06-28 17:30:00,3109.44,1369.92,694.464,455.808,546.3679999999999
2018-06-28 17:32:00,3109.44,1369.92,694.464,444.86400000000003,551.008
